radio_m,ventana_min,min_dias,observados,azar,azar_std,exceso,n_repeticiones,precision,recall,f1,aciertos,predichos,verdaderos
300,5,5,6929,6483.5,19.632880583347927,445.5,10,0.9953817289652186,0.34042448173741363,0.5073375262054507,6897,6929,20260
400,3,2,10072,9089.1,18.140837907880663,982.8999999999996,10,0.9954328832406671,0.49486673247778873,0.66108400369247,10026,10072,20260
400,3,3,9221,8381.5,16.261918705983007,839.5,10,0.9953367313740376,0.45301085883514314,0.6226383094196262,9178,9221,20260
400,3,4,8058,7393.2,19.26032190800559,664.8000000000002,10,0.9957805907172996,0.39605133267522213,0.5667066883254467,8024,8058,20260
400,3,5,6752,6241.8,16.678129391511508,510.1999999999998,10,0.9957049763033176,0.3318361303060217,0.49777876499333634,6723,6752,20260
500,2,2,9693,8634.5,24.520399670478458,1058.5,10,0.9960796451047147,0.4765547877591313,0.6446766601008247,9655,9693,20260
500,2,3,8851,7952.0,18.79893614011176,899.0,10,0.995932662975935,0.4350937808489635,0.6056129985228951,8815,8851,20260
500,2,4,7715,7030.4,19.06410239166796,684.6000000000004,10,0.9957226182760855,0.37917077986179665,0.5492046470062556,7682,7715,20260
500,2,5,6502,5966.3,15.786386540307443,535.6999999999998,10,0.9955398338972624,0.3194965449160908,0.4837456094462297,6473,6502,20260
600,2,2,9000,7926.7,30.903236076501763,1073.3000000000002,10,0.9961111111111111,0.44249753208292203,0.6127819548872181,8965,9000,20260
600,2,3,8261,7333.5,29.183043021590464,927.5,10,0.9961263769519428,0.40616979269496545,0.577048490585884,8229,8261,20260
600,2,4,7243,6520.2,25.895173295423223,722.8000000000002,10,0.9959961341985365,0.356071076011846,0.5245973166563648,7214,7243,20260
600,2,5,6126,5568.4,20.489997559785117,557.6000000000004,10,0.9959190336271629,0.30113524185587365,0.46244220419919657,6101,6126,20260
500,3,2,9362,8407.7,30.857900122983093,954.2999999999993,10,0.9951933347575305,0.4598716683119447,0.6290594828168253,9317,9362,20260
500,3,3,8641,7810.7,28.806422894903143,830.3000000000002,10,0.9949079967596343,0.4243336623889437,0.5949275111587834,8597,8641,20260
500,3,4,7560,6911.6,24.385241438214223,648.3999999999996,10,0.994973544973545,0.37127344521224087,0.5407620416966211,7522,7560,20260
500,3,5,6392,5890.6,27.45614685275412,501.39999999999964,10,0.9946808510638298,0.3138203356367226,0.4771124118265046,6358,6392,20260
400,5,2,9566,8771.1,30.233921346725765,794.8999999999996,10,0.9962366715450554,0.47038499506416587,0.6390397639643265,9530,9566,20260
400,5,3,8882,8179.4,27.332032489370416,702.6000000000004,10,0.9960594460707048,0.4366732477788746,0.6071649166151946,8847,8882,20260
400,5,4,7822,7274.4,25.939159585460743,547.6000000000004,10,0.9957811301457428,0.3844521224086871,0.5547325689053486,7789,7822,20260
400,5,5,6585,6157.2,25.019192632856882,427.8000000000002,10,0.9954441913439636,0.32354392892398814,0.48835909852859005,6555,6585,20260
600,3,2,8601,7661.4,24.307200579252232,939.6000000000004,10,0.9958144401813742,0.4227541954590326,0.5935345275631475,8565,8601,20260
600,3,3,7980,7157.4,18.254862365956093,822.6000000000004,10,0.9957393483709274,0.3922013820335637,0.5627478753541076,7946,7980,20260
600,3,4,7026,6366.6,18.77338541659442,659.3999999999996,10,0.995445488186735,0.34521224086870683,0.5126438466612915,6994,7026,20260
600,3,5,5960,5455.6,15.311433636338565,504.39999999999964,10,0.9954697986577181,0.2928430404738401,0.45255530129672006,5933,5960,20260
500,5,2,8813,8045.5,15.4483008774428,767.5,10,0.9953477816861455,0.43297137216189535,0.6034464967495614,8772,8813,20260
500,5,3,8246,7558.0,17.181385275931625,688.0,10,0.9951491632306573,0.4050345508390918,0.5757384410299586,8206,8246,20260
500,5,4,7286,6757.4,25.91215930793881,528.6000000000004,10,0.9946472687345594,0.35769990128331686,0.5261743991868149,7247,7286,20260
500,5,5,6192,5767.7,22.991520175925732,424.3000000000002,10,0.9943475452196382,0.30389930898321815,0.46552245576894,6157,6192,20260
600,5,2,8019,7267.0,35.90543134401813,752.0,10,0.996009477490959,0.39422507403751234,0.5648714593868241,7987,8019,20260
600,5,3,7545,6866.4,33.95938750919987,678.6000000000004,10,0.9957587806494367,0.37082922013820335,0.5404064017263082,7513,7545,20260
600,5,4,6734,6183.6,30.013996734856892,550.3999999999996,10,0.9952479952479952,0.3307996051332675,0.496554789953323,6702,6734,20260
600,5,5,5744,5322.5,22.83527972239447,421.5,10,0.995125348189415,0.28213228035538007,0.4396246731272112,5716,5744,20260
